state_code,county_fips,county_name,latitude,longitude,county_name_normalized,county_name_base,county_name_base_normalized
OH,39039,Defiance County,41.321679,-84.486433,defiance county,Defiance,defiance
OH,39041,Delaware County,40.278941,-83.007462,delaware county,Delaware,delaware
OH,39043,Erie County,41.394143,-82.586835,erie county,Erie,erie
OH,39045,Fairfield County,39.747694,-82.626685,fairfield county,Fairfield,fairfield
OH,39047,Fayette County,39.555246,-83.461893,fayette county,Fayette,fayette
OH,39049,Franklin County,39.969875,-83.009086,franklin county,Franklin,franklin
OH,39051,Fulton County,41.597264,-84.124267,fulton county,Fulton,fulton
OH,39053,Gallia County,38.817046,-82.301746,gallia county,Gallia,gallia
OH,39055,Geauga County,41.499322,-81.173505,geauga county,Geauga,geauga
OH,39057,Greene County,39.687479,-83.894894,greene county,Greene,greene
OH,39059,Guernsey County,40.056665,-81.497875,guernsey county,Guernsey,guernsey
OH,39061,Hamilton County,39.196927,-84.544187,hamilton county,Hamilton,hamilton
OH,39063,Hancock County,41.000217,-83.665947,hancock county,Hancock,hancock
OH,39065,Hardin County,40.660415,-83.664077,hardin county,Hardin,hardin
OH,39067,Harrison County,40.292318,-81.091565,harrison county,Harrison,harrison
OH,39069,Henry County,41.331584,-84.0689,henry county,Henry,henry
OH,39071,Highland County,39.184422,-83.601359,highland county,Highland,highland
OH,39073,Hocking County,39.490342,-82.483447,hocking county,Hocking,hocking
OH,39075,Holmes County,40.565597,-81.930001,holmes county,Holmes,holmes
OH,39077,Huron County,41.14508,-82.594641,huron county,Huron,huron
OH,39079,Jackson County,39.013477,-82.614142,jackson county,Jackson,jackson
OH,39081,Jefferson County,40.399384,-80.763527,jefferson county,Jefferson,jefferson
OH,39083,Knox County,40.40362,-82.422393,knox county,Knox,knox
OH,39085,Lake County,41.778142,-81.19733,lake county,Lake,lake
OH,39087,Lawrence County,38.603866,-82.517186,lawrence county,Lawrence,lawrence
OH,39089,Licking County,40.091505,-82.483435,licking county,Licking,licking
OH,39091,Logan County,40.387553,-83.766343,logan county,Logan,logan
OH,39093,Lorain County,41.438805,-82.179722,lorain county,Lorain,lorain
OH,39095,Lucas County,41.682321,-83.468903,lucas county,Lucas,lucas
OH,39097,Madison County,39.89661,-83.400887,madison county,Madison,madison
OH,39099,Mahoning County,41.01088,-80.770396,mahoning county,Mahoning,mahoning
OH,39101,Marion County,40.588034,-83.168803,marion county,Marion,marion
OH,39103,Medina County,41.116174,-81.899764,medina county,Medina,medina
OH,39105,Meigs County,39.089807,-82.028397,meigs county,Meigs,meigs
OH,39107,Mercer County,40.535333,-84.632059,mercer county,Mercer,mercer
OH,39109,Miami County,40.053326,-84.228413,miami county,Miami,miami
OH,39111,Monroe County,39.726253,-81.090983,monroe county,Monroe,monroe
OH,39113,Montgomery County,39.753736,-84.290591,montgomery county,Montgomery,montgomery
OH,39115,Morgan County,39.624946,-81.861697,morgan county,Morgan,morgan
OH,39117,Morrow County,40.525266,-82.797729,morrow county,Morrow,morrow
OH,39119,Muskingum County,39.966046,-81.943506,muskingum county,Muskingum,muskingum
OH,39121,Noble County,39.767232,-81.452493,noble county,Noble,noble
OH,39123,Ottawa County,41.545495,-83.012613,ottawa county,Ottawa,ottawa
OH,39125,Paulding County,41.118948,-84.582125,paulding county,Paulding,paulding
OH,39127,Perry County,39.743187,-82.237952,perry county,Perry,perry
OH,39129,Pickaway County,39.648947,-83.052827,pickaway county,Pickaway,pickaway
OH,39131,Pike County,39.071341,-83.052911,pike county,Pike,pike
OH,39133,Portage County,41.16897,-81.196962,portage county,Portage,portage
OH,39135,Preble County,39.73881,-84.644758,preble county,Preble,preble
OH,39137,Putnam County,41.024533,-84.129879,putnam county,Putnam,putnam
OH,39139,Richland County,40.774159,-82.542781,richland county,Richland,richland
OH,39141,Ross County,39.323895,-83.059538,ross county,Ross,ross
OH,39143,Sandusky County,41.355319,-83.142776,sandusky county,Sandusky,sandusky
OH,39145,Scioto County,38.814889,-82.998675,scioto county,Scioto,scioto
OH,39147,Seneca County,41.119992,-83.127547,seneca county,Seneca,seneca
OH,39149,Shelby County,40.33668,-84.204142,shelby county,Shelby,shelby
OH,39151,Stark County,40.814131,-81.365667,stark county,Stark,stark
OH,39153,Summit County,41.121847,-81.534928,summit county,Summit,summit
OH,39155,Trumbull County,41.306374,-80.7704,trumbull county,Trumbull,trumbull
OH,39157,Tuscarawas County,40.447439,-81.471166,tuscarawas county,Tuscarawas,tuscarawas
OH,39159,Union County,40.295901,-83.367042,union county,Union,union
OH,39161,Van Wert County,40.85552,-84.585775,van wert county,Van Wert,van wert
OH,39163,Vinton County,39.252042,-82.485961,vinton county,Vinton,vinton
OH,39165,Warren County,39.425663,-84.16994,warren county,Warren,warren
OH,39167,Washington County,39.450676,-81.490636,washington county,Washington,washington
OH,39169,Wayne County,40.829661,-81.887194,wayne county,Wayne,wayne
OH,39171,Williams County,41.564959,-84.584324,williams county,Williams,williams
OH,39173,Wood County,41.360183,-83.622682,wood county,Wood,wood
OH,39175,Wyandot County,40.839782,-83.313681,wyandot county,Wyandot,wyandot
OK,40001,Adair County,35.898043,-94.651026,adair county,Adair,adair
OK,40003,Alfalfa County,36.729703,-98.323445,alfalfa county,Alfalfa,alfalfa
OK,40005,Atoka County,34.392469,-96.036558,atoka county,Atoka,atoka
OK,40007,Beaver County,36.748334,-100.483056,beaver county,Beaver,beaver
OK,40009,Beckham County,35.270601,-99.690057,beckham county,Beckham,beckham
OK,40011,Blaine County,35.877795,-98.429031,blaine county,Blaine,blaine
OK,40013,Bryan County,33.964004,-96.265135,bryan county,Bryan,bryan
OK,40015,Caddo County,35.16792,-98.381045,caddo county,Caddo,caddo
OK,40017,Canadian County,35.543354,-97.979889,canadian county,Canadian,canadian
OK,40019,Carter County,34.251848,-97.287927,carter county,Carter,carter
OK,40021,Cherokee County,35.904367,-94.996796,cherokee county,Cherokee,cherokee
OK,40023,Choctaw County,34.027699,-95.554079,choctaw county,Choctaw,choctaw
OK,40025,Cimarron County,36.74839,-102.517698,cimarron county,Cimarron,cimarron
OK,40027,Cleveland County,35.206376,-97.323088,cleveland county,Cleveland,cleveland
OK,40029,Coal County,34.582861,-96.288039,coal county,Coal,coal
OK,40031,Comanche County,34.66263,-98.476612,comanche county,Comanche,comanche
OK,40033,Cotton County,34.290676,-98.373438,cotton county,Cotton,cotton
OK,40035,Craig County,36.76389,-95.201553,craig county,Craig,craig
OK,40037,Creek County,35.907398,-96.380177,creek county,Creek,creek
OK,40039,Custer County,35.645601,-98.997386,custer county,Custer,custer
OK,40041,Delaware County,36.393437,-94.808189,delaware county,Delaware,delaware
OK,40043,Dewey County,35.97796,-99.014385,dewey county,Dewey,dewey
OK,40045,Ellis County,36.224258,-99.750139,ellis county,Ellis,ellis
OK,40047,Garfield County,36.378132,-97.788741,garfield county,Garfield,garfield
OK,40049,Garvin County,34.70935,-97.312723,garvin county,Garvin,garvin
OK,40051,Grady County,35.021058,-97.88689,grady county,Grady,grady
OK,40053,Grant County,36.788254,-97.788151,grant county,Grant,grant
