cbsa_code,cbsa_name,cbsa_type,latitude,longitude,principal_city,states,is_metro,cbsa_name_normalized
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC Metro Area",1,33.909269,-78.976675,Myrtle Beach-Conway-North Myrtle Beach,SC,True,"myrtle beach-conway-north myrtle beach, sc metro area"
34900,"Napa, CA Metro Area",1,38.5071,-122.325904,Napa,CA,True,"napa, ca metro area"
34940,"Naples-Marco Island, FL Metro Area",1,26.118786,-81.400955,Naples-Marco Island,FL,True,"naples-marco island, fl metro area"
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",1,36.091577,-86.72298,Nashville-Davidson--Murfreesboro--Franklin,TN,True,"nashville-davidson--murfreesboro--franklin, tn metro area"
35100,"New Bern, NC Micro Area",2,35.116829,-77.08132,New Bern,NC,False,"new bern, nc micro area"
35140,"Newberry, SC Micro Area",2,34.289881,-81.599676,Newberry,SC,False,"newberry, sc micro area"
35220,"New Castle, IN Micro Area",2,39.929591,-85.397363,New Castle,IN,False,"new castle, in micro area"
35300,"New Haven, CT Metro Area",1,41.290167,-72.837024,New Haven,CT,True,"new haven, ct metro area"
35340,"New Iberia, LA Micro Area",2,29.606013,-91.842706,New Iberia,LA,False,"new iberia, la micro area"
35380,"New Orleans-Metairie, LA Metro Area",1,29.282447,-89.576068,New Orleans-Metairie,LA,True,"new orleans-metairie, la metro area"
35420,"New Philadelphia-Dover, OH Micro Area",2,40.447439,-81.471166,New Philadelphia-Dover,OH,False,"new philadelphia-dover, oh micro area"
35460,"Newport, TN Micro Area",2,35.916198,-83.119224,Newport,TN,False,"newport, tn micro area"
35580,"New Ulm, MN Micro Area",2,44.246541,-94.733647,New Ulm,MN,False,"new ulm, mn micro area"
35620,"New York-Newark-Jersey City, NY-NJ Metro Area",1,40.735425,-73.80773,New York-Newark-Jersey City,NY-NJ,True,"new york-newark-jersey city, ny-nj metro area"
35660,"Niles, MI Metro Area",1,41.791382,-86.742543,Niles,MI,True,"niles, mi metro area"
35700,"Nogales, AZ Micro Area",2,31.525733,-110.845228,Nogales,AZ,False,"nogales, az micro area"
35840,"North Port-Bradenton-Sarasota, FL Metro Area",1,27.329055,-82.414533,North Port-Bradenton-Sarasota,FL,True,"north port-bradenton-sarasota, fl metro area"
35940,"Norwalk, OH Micro Area",2,41.14508,-82.594641,Norwalk,OH,False,"norwalk, oh micro area"
35980,"Norwich-New London-Willimantic, CT Metro Area",1,41.484769,-72.101666,Norwich-New London-Willimantic,CT,True,"norwich-new london-willimantic, ct metro area"
36020,"Oak Harbor, WA Micro Area",2,48.158554,-122.670649,Oak Harbor,WA,False,"oak harbor, wa micro area"
